year;number;IUPAC anionic;IUPAC neutral;CAS anionic;CAS neutral;SMILES anionic;SMILES neutral;HIL;HIL t, nm;HIL, HOMO;HIL, LUMO;HIL_HTL, HOMO;HIL_HTL, LUMO;HTL;HTL tikness, nm;HTL, HOMO;HTL, LUMO;HTL_EML, HOMO;HTL_EML, LUMO;EML tikness, nm;HOMO;LUMO;EML_Matrix, HOMO;EML_Matrix, LUMO;Matrix;EML/Matrix;EML method;Matrix HOMO;Matrix LUMO;EML_ETL, HOMO;EML_ETL, LUMO;ETL1;ETL1, nm;ETL1, HOMO;ETL1, LUMO;ETL1_ETL2, HOMO;ETL1_ETL2, LUMO;ETL2;ETL2, nm;ETL2, HOMO;ETL2, LUMO;ETL2_EIL, LUMO;EIL;EIL, nm;LUMO;EIL_Cath, LUMO;Cathode1;nm;LUMO;Cathode;nm;LUMO;Max. irradiance, uW/cm2;EQE, %;ECE, uW/W;Uon;t, us;QY, %;HOMO;LUMO;Method (HOMO/LUMO);EML hole mobilty, cm2/Vs;EML electron mobility, cm2/Vs;EML total, cm2/Vs;Method of EML mobility measurements;Pixel size, mm2;Doi
2012;Yb-3.1;4-(4-(tert-butyl)benzoyl)-5-methyl-2-phenyl-2,4-dihydro-3H-pyrazol-3-one;4,7-diphenyl-1,10-phenanthroline;Not defined;1662-01-7;CC1=NN(c2ccccc2)C(=O)C1C(=O)c3ccc(cc3)C(C)(C)C;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;NPB;20;-5.5;-2.4;0;0;;;;;0;0;50;;;;;NPB;1;TVD;-5.5;-2.4;;;;;;;0.3;0.3;Alq3;40;-5.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;150;-4.2;0.14;0.0007.3;;7;18;0.9;;;;;;;;;10.1016/j.tsf.2011.12.052
;;4-(4-(tert-butyl)benzoyl)-5-methyl-2-phenyl-2,4-dihydro-3H-pyrazol-3-one;4,7-diphenyl-1,10-phenanthroline;Not defined;1662-01-7;CC1=NN(c2ccccc2)C(=O)C1C(=O)c3ccc(cc3)C(C)(C)C;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;NPB;20;-5.5;-2.4;0;0;Yb-3.1:NPB;30;-5.5;-2.4;;;50;;;;;;;TVD;;;;;;;;;;;;;;;;LiF;1;-3.6;0.6;;;;Al;150;-4.2;0.42;0.0064;;6.3;;;;;;;;;;;10.1016/j.tsf.2011.12.052
;Yb-3.2;4-isobutyryl-5-methyl-2-phenyl-2,4-dihydro-3H-pyrazol-3-one;triphenylphosphine oxide;Not defined;791-28-6;CC(C)C(=O)C1C(=NN(c2ccccc2)C1=O)C;O=[P](c1ccccc1)(c2ccccc2)c3ccccc3;NPB;30;-5.5;-2.4;;;;;;;;;50;;;;;;;TVD;;;;;BCP;20;-6.7;-2.9;-0.9;-0.2;Alq3;30;-5.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;150;-4.2;0.8;;0.1;10;24;1.2;;;;;;;;;10.1016/j.tsf.2011.12.052
;Yb-3.1/3.2;;;;;;;NPB;20;-5.5;-2.4;;;Yb-3.2;20;;;;;40;;;;;;;TVD;;;;;;;;;;;Alq3;20;-5.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;150;-4.2;1.47;0.027;;6.7;;;;;;;;;;;10.1016/j.tsf.2011.12.052
2016;Yb-4.0;4,4,4-trifluoro-1-(thiophen-2-yl)butane-1,3-dione;water;326-91-0;7732-18-5;FC(F)(F)C(=O)CC(=O)c1sccc1;O;b-NPB;25;-5.2;-2.4;0.7;0.3;;;;;0.72;0.26;40;-5.92;-2.66;-0.32;-0.56;TcTa ;0.11;TVD;-5.6;-2.1;0.78;0.24;BCP;15;-6.7;-2.9;-0.9;-0.2;Alq3;6;-5.8;-2.7;0.9;LiF;0.5;-3.6;0.6;;;;Al;120;-4.2;2;;;8;1.2;0.38;-5.92;-2.66;CV;;;1.24E-10;Mott-Gurney Eq.;;10.1016/j.tsf.2016.07.076
;Yb-4.1;4,4,4-trifluoro-1-(thiophen-2-yl)butane-1,3-dione;(sulfinylbis(methylene))dibenzene;326-91-0;56573-82-1;FC(F)(F)C(=O)CC(=O)c1sccc1;O=[S](Cc1ccccc1)Cc2ccccc2;b-NPB;25;-5.2;-2.4;0.7;0.3;;;;;0.72;0.26;40;-5.92;-2.66;-0.32;-0.56;TcTa ;0.11;TVD;-5.6;-2.1;0.78;0.24;BCP;15;-6.7;-2.9;-0.9;-0.2;Alq3;10;-5.8;-2.7;0.9;LiF;0.5;-3.6;0.6;;;;Al;120;-4.2;22.48;;51;7.6;;2.4;-5.92;-2.66;CV;6.24E-08;2.69E-12;3.21E-06;Mott-Gurney Eq.;;10.1016/j.tsf.2016.07.076
;Yb-4.2;4,4,4-trifluoro-1-(thiophen-2-yl)butane-1,3-dione;sulfinyldibenzene;326-91-0;945-51-7;FC(F)(F)C(=O)CC(=O)c1sccc1;O=[S](c1ccccc1)c2ccccc2;b-NPB;25;-5.2;-2.4;0.7;0.3;;;;;0.72;0.26;40;-5.92;-2.66;-0.32;-0.56;TcTa ;0.11;TVD;-5.6;-2.1;0.78;0.24;BCP;15;-6.7;-2.9;-0.9;-0.2;Alq3;10;-5.8;-2.7;0.9;LiF;0.5;-3.6;0.6;;;;Al;120;-4.2;12.13;;44;7.7;;1.41;-5.92;-2.66;CV;;;2.69E-05;Mott-Gurney Eq.;;10.1016/j.tsf.2016.07.076
;Yb-4.3;4,4,4-trifluoro-1-(thiophen-2-yl)butane-1,3-dione;6-phenyl-1,3,5-triazine-2,4-diamine;326-91-0;26676-98-2;FC(F)(F)C(=O)CC(=O)c1sccc1;Nc1nc(N)nc(n1)c2ccccc2;b-NPB;25;-5.2;-2.4;0.7;0.3;;;;;0.72;0.26;40;-5.92;-2.66;-0.32;-0.56;TcTa ;0.11;TVD;-5.6;-2.1;0.78;0.24;BCP;15;-6.7;-2.9;-0.9;-0.2;Alq3;10;-5.8;-2.7;0.9;LiF;0.5;-3.6;0.6;;;;Al;120;-4.2;9.6;;42;7.9;;1.33;-5.92;-2.66;CV;;;1.30E-07;Mott-Gurney Eq.;;10.1016/j.tsf.2016.07.076
2016;Yb-4.4;4,4,4-trifluoro-1-(thiophen-2-yl)butane-1,3-dione;triphenylphosphine oxide;326-91-0;47027-44-1;FC(F)(F)C(=O)CC(=O)c1sccc1;O=[P](c1ccccc1)(c2ccccc2)c3ccccc3;b-NPB;25;-5.5;-2.4;0.4;0.3;;;;;0.42;0.26;40;-5.92;-2.66;-0.32;-0.56;TcTa ;0.11;TVD;-5.6;-2.1;0.78;0.24;BCP;15;-6.7;-2.9;-0.9;-0.2;Alq3;10;-5.8;-2.7;0.9;LiF;0.5;-3.6;0.6;;;;Al;120;-4.2;19.29;;47;7.7;;1.92;-5.92;-2.66;CV;;;4.50E-08;Mott-Gurney Eq.;;10.1016/j.poly.2016.06.024
2017;Yb-5;1,3-diphenylpropane-1,3-dione;(oxybis(4,1-phenylene))bis(diphenylphosphine oxide);120-46-7;808142-23-6;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;O=[P](c1ccccc1)(c2ccccc2)c3ccccc3Oc4ccccc4[P](=O)(c5ccccc5)c6ccccc6;a-NPD;30;-5.4;-2.4;0.5;0;mCP;10;-5.9;-2.4;0.2;-0.4;60;;;;;DPEPO;0.25;TVD;-6.1;-2;0;0;DPEPO;10;-6.1;-2;0.7;0.7;TPBi;40;-6.8;-2.7;0.9;LiF;0.8;-3.6;0.6;;;;Al;100;-4.2;1.4;0.14;;5;42.6;0.4;;;;;;;;;10.1039/C7CC01580A
